"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	"Year"	"Year Code"	Mortality-Incidence Age-Adjusted Rate Ratio	Death Counts	Mortality Population	Incidence Counts	Incidence Population
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2011"	"2011"	0.658	340	8101155	499	8101155
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2012"	"2012"	0.604	357	8185080	566	8185080
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2013"	"2013"	0.682	357	8252427	510	8252427
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2014"	"2014"	0.638	379	8310993	573	8310993
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2015"	"2015"	0.728	389	8361808	513	8361808
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2016"	"2016"	0.710	420	8410106	572	8410106
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2017"	"2017"	0.660	415	8463587	600	8463587
	"Brain and Other Nervous System"	"31010-31040"	"Virginia"	"51"	"2018"	"2018"	0.802	445	8501286	523	8501286
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"1999"	"1999"	0.709	336	5842564	483	5842564
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2000"	"2000"	0.768	322	5910512	429	5910512
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2001"	"2001"	0.779	331	5985722	428	5985722
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2002"	"2002"	0.686	323	6052349	475	6052349
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2003"	"2003"	0.737	342	6104115	467	6104115
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2004"	"2004"	0.727	335	6178645	468	6178645
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2005"	"2005"	0.714	347	6257305	479	6257305
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2006"	"2006"	0.756	333	6370753	436	6370753
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2007"	"2007"	0.671	316	6461587	468	6461587
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2008"	"2008"	0.731	365	6562231	501	6562231
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2009"	"2009"	0.648	346	6667426	530	6667426
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2010"	"2010"	0.685	378	6742830	546	6742830
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2011"	"2011"	0.689	382	6826627	534	6826627
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2012"	"2012"	0.692	386	6897058	546	6897058
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2013"	"2013"	0.657	374	6963985	554	6963985
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2014"	"2014"	0.648	378	7054655	547	7054655
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2015"	"2015"	0.615	397	7163657	610	7163657
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2016"	"2016"	0.759	428	7294771	537	7294771
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2017"	"2017"	0.726	433	7423362	561	7423362
	"Brain and Other Nervous System"	"31010-31040"	"Washington"	"53"	"2018"	"2018"	0.700	433	7523869	601	7523869
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"1999"	"1999"	0.630	90	1811799	135	1811799
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2000"	"2000"	0.516	75	1807021	138	1807021
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2001"	"2001"	0.623	95	1801481	147	1801481
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2002"	"2002"	0.654	100	1805414	145	1805414
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2003"	"2003"	0.531	89	1812295	163	1812295
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2004"	"2004"	0.589	101	1816438	164	1816438
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2005"	"2005"	0.725	108	1820492	142	1820492
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2006"	"2006"	0.494	84	1827912	161	1827912
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2007"	"2007"	0.565	105	1834052	175	1834052
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2008"	"2008"	0.605	101	1840310	156	1840310
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2009"	"2009"	0.610	100	1847775	148	1847775
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2010"	"2010"	0.694	107	1854239	137	1854239
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2011"	"2011"	0.519	77	1856301	134	1856301
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2012"	"2012"	0.684	115	1856872	150	1856872
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2013"	"2013"	0.598	105	1853914	151	1853914
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2014"	"2014"	0.629	115	1849489	161	1849489
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2015"	"2015"	0.669	116	1842050	163	1842050
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2016"	"2016"	0.625	113	1831023	158	1831023
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2017"	"2017"	0.740	117	1817004	140	1817004
	"Brain and Other Nervous System"	"31010-31040"	"West Virginia"	"54"	"2018"	"2018"	0.660	111	1804291	145	1804291
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"1999"	"1999"	0.648	253	5332666	390	5332666
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2000"	"2000"	0.686	269	5373999	391	5373999
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2001"	"2001"	0.633	262	5406835	410	5406835
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2002"	"2002"	0.659	267	5445162	399	5445162
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2003"	"2003"	0.695	269	5479203	383	5479203
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2004"	"2004"	0.608	246	5514026	398	5514026
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2005"	"2005"	0.648	282	5546166	428	5546166
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2006"	"2006"	0.565	271	5577655	465	5577655
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2007"	"2007"	0.565	278	5610775	477	5610775
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2008"	"2008"	0.741	332	5640996	443	5640996
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2009"	"2009"	0.587	306	5669264	501	5669264
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2010"	"2010"	0.624	293	5690475	456	5690475
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2011"	"2011"	0.715	355	5705288	481	5705288
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2012"	"2012"	0.662	293	5719960	428	5719960
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2013"	"2013"	0.672	328	5736754	456	5736754
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2014"	"2014"	0.680	341	5751525	488	5751525
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2015"	"2015"	0.711	339	5760940	448	5760940
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2016"	"2016"	0.696	343	5772628	457	5772628
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2017"	"2017"	0.691	343	5790186	469	5790186
	"Brain and Other Nervous System"	"31010-31040"	"Wisconsin"	"55"	"2018"	"2018"	0.696	355	5807406	469	5807406
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"1999"	"1999"	0.820	29	491780	36	491780
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2000"	"2000"	0.779	26	494300	33	494300
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2001"	"2001"	0.552	19	494657	34	494657
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2002"	"2002"	0.497	17	500017	35	500017
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2003"	"2003"	0.785	29	503453	37	503453
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2004"	"2004"	0.721	28	509106	40	509106
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2005"	"2005"	0.618	21	514157	33	514157
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2006"	"2006"	0.577	23	522667	38	522667
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2007"	"2007"	0.789	23	534876	28	534876
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2008"	"2008"	0.753	23	546043	31	546043
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2009"	"2009"	0.610	31	559851	50	559851
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2010"	"2010"	0.531	31	564487	58	564487
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2011"	"2011"	0.787	31	567299	36	567299
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2012"	"2012"	0.663	30	576305	43	576305
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2013"	"2013"	0.791	24	582122	32	582122
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2014"	"2014"	0.641	31	582531	47	582531
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2015"	"2015"	0.743	37	585613	46	585613
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2016"	"2016"	0.957	42	584215	42	584215
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2017"	"2017"	1.053 (Unreliable)	46	578931	42	578931
	"Brain and Other Nervous System"	"31010-31040"	"Wyoming"	"56"	"2018"	"2018"	1.123 (Unreliable)	35	577601	31	577601
"---"
"Dataset: United States and Puerto Rico Cancer Statistics, 1999-2018 Mortality Incidence Rate Ratios"
"Query Parameters:"
"Leading Cancer Sites: Brain and Other Nervous System"
"Group By: Leading Cancer Sites; State; Year"
"Show Totals: Disabled"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Standard Population: 2000 U.S. Std. Million"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/CancerMIR-v2018.html for more information."
"---"
"Query Date: Nov 29, 2021 8:12:52 PM"
"---"
"Suggested Citation: United States Cancer Statistics - Mortality Incidence Rate Ratios: 1999 - 2018, WONDER Online Database."
"United States Department of Health and Human Services, Centers for Disease Control and Prevention and National Cancer Institute;"
"2021. Accessed at http://wonder.cdc.gov/CancerMIR-v2018.html on Nov 29, 2021 8:12:52 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"2. Rows with zero Incidence Counts are hidden. Use Quick Options above to show zero rows."
"3. Rows with suppressed Incidence Counts are hidden. Use Quick Options above to show suppressed rows."
"---"
Footnotes:
"1. Caution should be used when interpreting these Mortality Incidence Rate Ratios as coding for death certificates and cancer"
"incidence records may vary significantly. The cancer incidence records are likely to be coded to a more specific topographic"
"site which may give a false impression of an elevated rate ratio. Ratio values greater than 1 are flagged as Unreliable."
"---"
Caveats:
"1. 'Suppressed' is displayed for data values when they must not be provided in order to protect personal privacy. Data is"
"suppressed if fewer than 16 cases are reported in any one line of the results table. Data for the ""Asian / Pacific Islander"""
"and ""American Indian or Alaska Native"" race categories are suppressed at the Metropolitan Statistical Area level for"
"populations less than 50,000 persons. Data are suppressed at the state and Metropolitan Statistical Area level for certain race"
"and ethnicity groups: 1) ""American Indian or Alaska Native"" race data are suppressed at the state and MSA level for Delaware,"
"Illinois, Kansas, Kentucky, New Jersey, and New York; 2) ""Asian or Pacific Islander"" race data are suppressed at the state and"
"MSA level for Delaware, Illinois, Kansas, and Kentucky; 3) ""Hispanic"" ethnicity data are supressed at the state and MSA level"
"for Delaware, and Kentucky. 4) All combinations of race by ethnicity are supressed at the state and MSA level for Delaware,"
"Kansas, Kentucky, Pennsylvania, and Massachusetts. More information:"
"http://wonder.cdc.gov/wonder/help/CancerMIR-v2018.html#Confidentiality."
"2. 'Missing' is displayed for a combination of states/territories/MSAs and years that did not meet the United States Cancer"
"Statistics (USCS) publication standard or did not allow permission for their data to be used."
"3. The ""Show Totals"" checkbox is disabled when data are grouped by Cancer Sites because aggregate values are displayed in the"
"table. Also be aware that charts and maps containing both aggregate and detail data could be misleading."
"4. These states are missing data for the indicated year: Arkansas 1999-2000; Mississippi 1999-2002; Nevada 2018; South Dakota"
"1999-2000."
"5. About rate comparisons: <ul><li> For consistency with the data on cancer incidence, the cancer sites in mortality data were"
"grouped according to the revised SEER recodes dated March 1, 2018 (see SEER Cause of Death Recodes:"
"http://seer.cancer.gov/codrecode/.). Because NCHS uses different groupings for some sites, the death rates in this report may"
"differ slightly from those published by NCHS. In addition, under the International Classification of Diseases (ICD), there are"
"differences in mortality and incidence coding. For example, there are several codes for mesothelioma in ICD-10 (depending on the"
"primary site). However in ICD-O-3, one code captures all of the primary sites that mesothelioma affects. Note that Kaposi"
"sarcoma deaths included in this dataset are only those deaths with underlying cause of death attributed to Kaposi Sarcoma, and"
"do not include deaths where the condition was a contributing cause of death, or subsequent to another underlying condition."
"</li><li> The population used to age-adjust the rates in this report is the 2000 U.S. standard population, which is in"
"accordance with a 1998 recommendation of the US. Department of Health and Human Services. The 2000 U.S. standard population is"
"based on the proportion of the 2000 population in specific age groups (younger than 1 year, 1-4 years, 5-9 years, 10-14 years,"
"15-19 years, . . . 85 years or older); the proportions of the 2000 population in these age groups serve as weights for"
"calculating age-adjusted incidence and death rates. NCHS, however, uses a different set of age groups in its age adjustment of"
"death rates, and thus the cancer death rates in this report may differ slightly from those published by NCHS. </li><li> Deaths"
"of persons of unknown age are not included in this data set. Death rates may differ slightly from other reports where deaths of"
"persons of unknown age are included. </li></ul>"
"6. Cancer incidence counts, populations, and rates may differ from those found in the United States Cancer Statistics incidence"
"reports and data, because these data include only those specific cancer sites that can be linked to the mortality data. For"
"example, in situ breast cancers are not included, and the appendix is not specified as a cancer site here."
"7. Cancer mortality counts, populations, and rates may differ from those found in the United States Cancer Statistics mortality"
"reports and data, because these data include only those specific reporting populations that can be linked to the incidence data."
"For example, cancer incidence data are not available for all places and years."
"8. For the 2005 year, the Census Bureau estimates that 203,937 persons were displaced from Alabama, Louisiana, Mississippi and"
"Texas due to Hurricanes Katrina and Rita. CDC WONDER does not include the displaced persons in the 2005 population counts for"
"these states, nor are these counts included in the summary populations for the affected division, regions or national"
"population. However, the USCS web site does include these displaced persons in the national population figures for 2005."
"9. Incidence data are from selected statewide and metropolitan area cancer registries that meet data quality criteria. Data"
"shown for the United States are diagnoses, deaths and populations only from places and years for included cancer registries."
